Time,"Engine speed","Manifold pressure","Air mass measured","Air mass calculated","Periodic air mass","Lambda actual value group 1","Lambda actual value group 2","Additive mixture adaptation idle bank 1","Additive mixture adaptation idle bank 2","Multiplicative mixture adaptation low load bank 1","Multiplicative mixture adaptation low load bank 2","Throttle valve setpoint","Current throttle angle","Idle target speed","Opening angle of the EGR valve","Duty cycle: air damper","DISA1 PWM (large / upper flap)","DISA2 PWM (small / lower flap)","Uneven running of cylinder 1","Uneven running cylinder 2","Uneven running cylinder 3","Uneven running cylinder 4","Number of misfires over life, cylinder 1","Number of misfires over life, cylinder 2","Number of misfires over life, cylinder 3","Number of misfires over life, cylinder 4","Intake air temperature","Temperature before throttle valve","Leakage air adaptation actual value","Fuel pressure upstream of quantity control valve"
0.000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.00,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.00,1.02,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.00,1.02,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.00,1.02,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.00,1.02,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.00,1.02,0.00,0.00,0.00,1.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0.00,0,0,0,0,0,0,0,0,0,0,0
0.008,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0
0.008,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
0.008,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
0.008,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19621.00,0,0,0,0,0,0,0
0.009,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19621.00,14475.00,0,0,0,0,0,0
0.009,0.00,1.02,0.00,0.00,0.00,1.00,1.00,1.00,1.00,-5.00,-5.00,3.73,5.00,880.00,1.56,5.08,15.00,15.00,0.00,0.00,0.00,0.00,19621.00,14475.00,26780.00,0,0,0,0,0
